Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
249,150671,83,20.46,1258,22.72
250,151306,76,19.69,1263,22.83
251,152112,329,59.91,1268,22.72
252,152505,399,87.30,1273,22.94
253,152834,120,23.58,1278,22.72
254,153201,319,57.64,1284,22.72
255,153779,78,19.92,1289,22.83
256,154531,51,15.86,1294,22.83
257,155383,147,26.19,1299,22.72
258,155906,195,33.17,1304,22.51
259,156177,56,16.76,1309,22.83
260,157009,69,18.79,1314,22.83
261,157070,71,19.06,1320,22.83
262,157084,66,18.36,1325,22.72
263,158216,387,81.05,1331,22.83
264,158305,60,17.43,1336,22.72
265,158965,188,32.01,1342,22.72
266,159183,89,21.05,1347,22.83
267,159717,222,37.96,1352,22.83
268,159759,275,47.73,1357,22.62
269,161253,403,88.99,1363,23.05
270,162275,409,91.12,1368,22.72
271,162701,60,17.43,1373,22.72
272,163591,89,21.05,1379,22.83
273,163644,56,16.76,1384,22.83
274,165367,135,24.92,1389,22.83
275,165462,78,19.92,1395,22.72
276,167212,252,43.42,1400,22.94
277,168217,408,90.57,1406,22.83
278,170076,73,19.32,1411,22.83
279,170368,608,202.86,1416,22.72
280,170550,83,20.46,1421,22.72
281,170610,69,18.79,1426,22.72
282,170722,79,20.03,1432,22.72
283,170800,71,19.06,1437,22.72
284,172073,391,82.35,1442,22.83
285,172548,135,24.92,1447,22.72
286,172745,327,59.28,1453,22.72
287,173422,176,30.09,1458,22.83
288,174156,120,23.58,1463,22.83
289,174939,76,19.69,1469,22.72
290,174961,376,76.43,1474,22.94
291,175071,60,17.43,1479,22.83
292,175217,56,16.76,1485,22.72
293,175655,224,38.29,1490,22.62
294,176230,63,17.91,1495,22.94
295,177715,113,23.02,1501,22.83
296,178824,74,19.44,1506,22.72
297,178872,63,17.91,1511,22.83
298,181626,179,30.55,1517,22.83
299,182070,79,20.03,1522,22.83
300,182215,63,17.91,1527,22.94
301,182437,88,20.96,1533,23.05
302,182688,127,24.18,1538,22.83
303,183666,127,24.18,1543,22.72
304,184844,56,16.76,1548,22.94
305,185246,88,20.96,1553,22.94
306,185645,51,15.86,1558,22.83
307,186275,76,19.69,1563,22.83
308,187641,61,17.60,1568,22.72
309,188181,335,61.77,1574,22.83
310,188538,63,17.91,1579,22.72
311,188620,112,22.94,1585,22.72
312,189036,143,25.74,1590,22.62
313,191355,127,24.18,1595,22.72
314,191527,62,17.75,1600,22.83
315,191644,100,22.00,1606,22.83
316,191966,71,19.06,1611,22.94
317,192043,287,50.23,1616,22.83
318,192121,307,54.48,1621,22.83
319,192481,281,48.90,1626,22.83
320,192588,282,49.11,1632,22.72
321,193847,147,26.19,1637,22.83
322,193922,284,49.41,1642,22.83
323,194295,51,15.86,1647,22.83
324,194622,79,20.03,1652,22.83
325,195430,53,16.22,1657,22.83
326,195794,195,33.17,1662,22.72
327,196241,391,82.35,1667,22.51
328,196320,89,21.05,1672,22.51
329,196550,216,36.85,1677,22.62
330,196951,115,23.18,1682,22.72
331,197921,163,28.20,1687,22.72
332,198517,323,58.48,1692,22.62
333,199804,60,17.43,1697,22.72
334,200494,231,39.55,1703,22.72
335,201453,103,22.23,1708,22.72
336,201574,82,20.36,1713,22.62
337,201678,188,32.01,1718,22.62
338,201763,71,19.06,1723,22.72
339,202251,334,61.44,1728,22.83
