Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
344,171516,271,46.93,1764,23.15
345,172012,56,16.76,1770,23.37
346,172098,195,33.17,1775,23.15
347,173281,71,19.06,1780,23.37
348,173582,62,17.75,1785,23.37
349,173619,312,55.68,1791,23.37
350,173651,369,73.42,1796,23.15
351,174574,70,18.93,1801,23.15
352,174632,291,50.97,1806,23.15
353,174819,345,64.98,1811,23.48
354,176623,435,104.92,1816,23.15
355,176733,56,16.76,1821,23.37
356,176880,115,23.18,1826,23.15
357,177228,60,17.43,1831,23.37
358,177786,69,18.79,1837,23.15
359,178147,300,52.79,1842,23.15
360,178207,824,662.09,1847,23.48
361,179102,284,49.41,1852,21.22
362,180116,140,25.42,1857,23.37
363,180441,99,21.91,1863,23.15
364,180859,53,16.22,1868,23.15
365,181344,57,16.93,1873,23.37
366,181932,207,35.26,1878,23.37
367,181967,97,21.75,1883,23.15
368,183593,74,19.44,1888,23.15
369,186652,79,20.03,1893,23.15
370,186796,58,17.10,1898,23.37
371,187458,294,51.51,1903,23.37
372,188094,309,55.01,1908,23.15
373,188171,88,20.96,1913,23.15
374,188996,255,43.96,1918,23.15
375,189457,57,16.93,1923,23.05
376,191539,73,19.32,1928,23.15
377,192146,93,21.41,1933,23.15
378,192745,108,22.63,1938,23.15
379,193234,74,19.44,1943,23.15
380,193796,71,19.06,1948,23.15
381,193867,85,20.67,1953,23.15
382,194280,270,46.71,1958,23.15
383,194351,53,16.22,1964,23.37
384,194945,57,16.93,1969,23.37
385,195536,153,26.90,1974,23.15
386,196448,82,20.36,1979,23.05
387,196682,93,21.41,1984,23.15
388,197408,103,22.23,1989,23.15
389,197421,112,22.94,1994,23.15
390,197888,224,38.29,2000,23.15
391,198311,88,20.96,2005,23.15
392,198644,224,38.29,2010,23.15
393,199186,240,41.21,2015,23.15
394,200160,403,88.99,2021,23.05
395,200423,131,24.54,2026,23.37
396,200593,271,46.93,2032,23.37
397,201242,422,97.97,2038,23.15
398,201847,83,20.46,2043,23.05
399,202599,97,21.75,2048,23.15
400,202766,63,17.91,2053,23.37
401,203969,79,20.03,2059,23.15
402,206875,409,91.12,2064,23.15
403,207519,185,31.51,2069,23.15
404,207667,117,23.34,2074,23.15
405,209075,70,18.93,2080,23.15
406,209329,103,22.23,2085,23.37
407,209626,112,22.94,2090,23.15
408,209758,487,132.65,2095,23.15
409,209831,60,17.43,2101,23.15
410,209840,88,20.96,2107,23.15
411,210874,369,73.42,2112,23.15
412,212034,96,21.67,2117,23.15
413,213592,492,134.92,2122,23.15
414,214395,67,18.51,2128,23.48
415,214498,85,20.67,2134,23.37
416,215800,96,21.67,2139,23.15
417,216067,140,25.42,2144,23.37
418,216189,97,21.75,2150,23.37
419,217879,76,19.69,2155,23.15
420,217914,134,24.82,2160,23.15
421,218068,94,21.50,2166,23.15
422,218246,387,81.05,2171,23.15
423,218861,97,21.75,2176,23.15
424,219448,408,90.57,2181,23.15
425,220221,121,23.66,2186,23.37
426,221001,60,17.43,2192,23.37
427,221128,71,19.06,2198,23.15
428,221455,198,33.69,2203,23.15
429,221490,51,15.86,2208,23.15
430,221683,120,23.58,2213,23.15
431,221713,57,16.93,2219,23.15
432,221775,71,19.06,2224,23.15
433,222580,56,16.76,2229,23.15
434,223072,115,23.18,2234,23.15
435,223724,281,48.90,2239,23.15
436,223979,79,20.03,2245,23.15
437,224186,63,17.91,2250,23.15
438,224826,448,112.41,2256,23.15
439,224943,556,174.47,2261,23.15
440,225261,79,20.03,2267,23.05
441,226459,373,75.04,2272,23.15
442,226787,399,87.30,2277,23.37
443,226819,57,16.93,2282,23.15
444,227749,63,17.91,2287,23.15
445,228384,537,162.17,2293,23.37
446,228818,63,17.91,2299,23.37
447,231180,63,17.91,2305,23.15
448,231847,63,17.91,2311,23.15
449,231919,510,148.47,2317,23.15
450,232164,153,26.90,2322,23.05
451,233001,51,15.86,2327,23.37
452,233542,243,41.74,2332,23.15
453,234016,89,21.05,2338,23.15
454,234398,115,23.18,2343,23.15
455,234741,206,35.07,2348,23.15
456,234963,112,22.94,2353,23.15
457,235325,508,144.95,2358,23.15
458,235807,184,31.36,2363,23.15
459,235849,67,18.51,2368,23.15
460,236058,227,38.83,2374,23.15
461,236484,62,17.75,2379,23.15
462,236715,230,39.39,2385,23.15
463,236884,103,22.23,2390,23.37
464,236894,53,16.22,2395,23.37
465,236972,93,21.41,2400,23.37
466,237004,88,20.96,2405,23.15
467,237071,71,19.06,2410,23.15
468,237324,240,41.21,2415,23.15
469,237559,56,16.76,2421,23.15
470,238150,384,80.08,2426,23.15
471,238210,110,22.78,2431,23.15
472,238556,54,16.41,2436,23.15
473,238668,78,19.92,2441,23.37
474,238897,98,21.83,2446,23.15
475,239119,99,21.91,2451,23.05
476,239431,280,48.67,2456,23.37
477,239688,78,19.92,2462,23.15
478,239917,67,18.51,2467,23.15
479,240012,483,132.60,2473,23.15
480,240473,249,42.85,2479,23.37
481,240600,89,21.05,2485,23.37
482,240860,270,46.71,2490,23.37
483,240958,217,37.04,2496,23.37
484,241755,586,192.72,2501,23.05
485,242144,140,25.42,2506,23.15
486,242590,79,20.03,2512,23.15
487,242789,225,38.48,2517,23.15
488,242913,56,16.76,2522,23.15
489,242957,109,22.70,2527,23.15
490,244188,51,15.86,2532,23.15
491,244229,127,24.18,2537,23.15
492,244347,142,25.64,2542,23.15
