Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
245,127984,51,15.86,1230,22.83
246,128580,287,50.23,1235,23.15
247,129034,63,17.91,1240,22.83
248,129093,83,20.46,1246,22.94
249,129161,188,32.01,1251,22.62
250,129271,78,19.92,1256,22.83
251,129660,56,16.76,1261,22.94
252,130458,291,50.97,1266,22.83
253,130604,231,39.55,1271,23.15
254,131209,89,21.05,1276,23.05
255,131823,199,33.86,1281,23.15
256,131991,76,19.69,1286,22.94
257,133707,74,19.44,1291,23.15
258,133742,60,17.43,1296,23.15
259,134011,50,15.67,1302,22.94
260,134686,423,97.36,1307,23.15
261,135142,51,15.86,1312,23.15
262,135645,184,31.36,1317,23.15
263,136092,92,21.32,1322,23.05
264,136608,51,15.86,1327,23.15
265,137446,71,19.06,1332,23.05
266,137520,89,21.05,1337,23.15
267,138635,102,22.15,1342,23.15
268,140431,63,17.91,1347,23.15
269,140518,102,22.15,1353,23.15
270,140549,79,20.03,1358,23.05
271,140735,295,51.75,1363,23.15
272,140809,66,18.36,1368,23.05
273,141386,81,20.25,1374,23.15
274,141447,71,19.06,1379,22.94
275,141497,103,22.23,1384,23.15
276,141657,105,22.39,1389,23.15
277,142219,240,41.21,1394,23.05
278,142259,409,91.12,1400,23.05
279,143214,277,48.09,1405,23.37
280,144183,333,61.18,1411,23.05
281,144282,85,20.67,1416,23.15
282,144387,135,24.92,1421,23.05
283,144999,433,104.37,1427,23.05
284,145032,61,17.60,1432,23.05
285,145872,83,20.46,1438,23.26
286,146084,473,126.29,1443,22.94
287,147196,109,22.70,1449,23.15
288,147968,63,17.91,1454,23.15
289,148121,184,31.36,1460,23.05
290,148233,56,16.76,1465,23.05
291,148702,775,556.41,1470,23.15
292,149708,344,64.67,1475,23.15
293,150550,60,17.43,1480,23.15
294,150910,140,25.42,1486,23.15
295,151034,127,24.18,1492,23.15
296,151181,76,19.69,1497,23.15
297,151314,94,21.50,1502,23.15
298,151391,88,20.96,1507,23.15
299,151993,277,48.09,1512,23.15
300,152390,89,21.05,1518,23.37
301,153901,345,64.98,1523,23.15
302,154267,88,20.96,1528,23.15
303,154423,255,43.96,1533,23.15
304,156153,71,19.06,1538,23.15
305,156168,154,27.02,1543,23.15
306,156390,199,33.86,1548,23.15
307,156414,89,21.05,1553,23.05
308,156428,63,17.91,1558,23.15
309,157172,305,53.88,1564,23.15
310,157194,61,17.60,1569,23.15
311,158075,67,18.51,1575,23.15
312,158342,235,40.29,1581,23.15
313,158942,79,20.03,1587,23.15
314,160350,396,85.28,1592,23.48
315,160567,82,20.36,1597,23.15
316,160641,103,22.23,1602,23.15
317,160712,77,19.81,1607,23.15
318,161684,163,28.20,1612,23.15
319,161736,280,48.67,1617,23.15
320,161883,83,20.46,1623,23.15
321,162067,51,15.86,1628,23.15
322,162101,81,20.25,1633,23.15
323,162774,227,38.83,1638,23.15
324,163104,255,43.96,1643,23.15
325,163435,124,23.92,1648,23.15
326,164109,56,16.76,1654,23.37
327,164584,305,53.88,1659,23.15
328,165092,121,23.66,1664,23.15
329,166175,88,20.96,1670,23.05
330,167508,312,55.68,1675,23.15
331,167972,94,21.50,1680,23.15
332,168944,192,32.67,1685,23.15
333,169034,198,33.69,1690,23.05
334,169068,156,27.28,1695,23.15
335,170590,158,27.53,1700,23.15
336,170621,81,20.25,1705,23.05
337,170637,79,20.03,1710,23.05
338,171035,88,20.96,1715,23.15
339,171559,368,72.93,1720,23.05
340,171691,371,73.82,1725,23.15
341,174012,167,28.76,1730,23.15
342,174261,79,20.03,1735,23.15
343,175246,115,23.18,1740,23.05
344,175980,81,20.25,1745,23.15
345,176039,432,101.61,1750,23.15
346,176550,63,17.91,1755,23.37
347,176839,286,49.78,1761,23.05
348,176946,339,62.98,1766,23.05
349,177115,121,23.66,1771,23.15
350,177689,63,17.91,1777,23.05
351,178086,108,22.63,1783,22.94
352,179255,316,56.81,1788,23.15
353,179905,188,32.01,1793,23.05
354,182560,259,44.69,1798,23.05
355,182923,225,38.48,1804,23.05
356,183601,101,22.08,1809,23.15
357,184072,50,15.67,1814,22.94
358,184706,236,40.44,1819,22.94
359,185077,60,17.43,1825,23.05
360,185196,63,17.91,1831,23.15
361,185798,492,134.92,1837,23.15
362,186385,103,22.23,1843,22.94
363,189065,222,37.96,1848,23.15
364,189350,197,33.52,1853,23.05
365,189467,414,93.93,1858,23.05
366,189723,83,20.46,1863,23.15
367,190171,103,22.23,1868,23.15
368,190404,60,17.43,1873,23.15
369,190479,54,16.41,1879,23.05
370,190815,127,24.18,1884,23.26
371,191177,56,16.76,1889,23.15
372,191522,167,28.76,1894,23.15
373,191637,78,19.92,1899,23.15
374,192313,112,22.94,1904,23.15
375,192559,103,22.23,1909,23.05
376,192618,262,45.24,1914,23.15
377,192975,295,51.75,1920,23.05
378,193098,117,23.34,1925,23.15
379,193357,280,48.67,1930,23.15
380,195582,83,20.46,1936,23.05
381,195695,113,23.02,1941,23.05
