Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
317,146323,97,21.75,1617,23.48
318,146647,140,25.42,1622,23.80
319,148341,127,24.18,1628,23.69
320,148744,364,71.71,1633,23.69
321,148864,326,59.13,1638,23.37
322,150790,77,19.81,1643,23.69
323,150820,76,19.69,1648,23.48
324,150861,216,36.85,1653,23.80
325,152177,173,29.64,1658,23.58
326,152705,348,65.64,1663,23.58
327,153139,79,20.03,1668,23.37
328,153290,51,15.86,1673,23.69
329,153581,49,15.48,1678,23.48
330,153972,56,16.76,1683,23.37
331,154051,63,17.91,1688,23.69
332,154611,67,18.51,1694,23.69
333,154883,63,17.91,1700,23.80
334,155553,69,18.79,1706,23.80
335,156286,220,37.58,1712,23.69
336,157382,172,29.49,1717,23.48
337,157915,67,18.51,1722,23.48
338,158067,71,19.06,1728,23.80
339,158389,103,22.23,1733,23.58
340,158495,359,69.86,1738,23.58
341,158648,112,22.94,1743,23.48
342,158889,455,117.03,1748,23.48
343,159263,78,19.92,1753,23.37
344,160153,167,28.76,1758,23.69
345,160310,93,21.41,1763,23.80
346,160455,92,21.32,1768,23.69
347,160708,65,18.22,1773,23.91
348,160770,198,33.69,1779,23.37
349,161002,293,51.29,1784,23.69
350,161463,60,17.43,1789,23.69
351,161779,56,16.76,1795,23.80
352,162713,179,30.55,1800,23.80
353,164875,248,42.69,1805,23.69
354,165564,63,17.91,1811,23.37
355,165843,287,50.23,1817,23.37
356,166237,103,22.23,1822,23.48
357,166573,112,22.94,1827,23.37
358,166950,195,33.17,1832,23.69
359,167402,380,78.12,1837,24.01
360,167735,352,66.89,1842,23.48
361,167971,92,21.32,1847,23.69
362,168650,85,20.67,1852,23.69
363,169116,312,55.68,1857,23.58
364,169680,156,27.28,1862,24.01
365,169786,60,17.43,1867,23.15
366,171062,193,32.84,1873,23.91
367,171322,99,21.91,1878,23.80
368,171417,60,17.43,1883,23.69
369,173006,63,17.91,1889,23.69
370,173268,174,29.79,1895,23.91
371,173368,92,21.32,1900,23.80
372,173461,53,16.22,1905,23.48
373,173521,79,20.03,1910,24.12
374,173835,88,20.96,1915,23.37
375,173993,352,66.89,1920,23.80
376,174660,295,51.75,1925,23.80
377,175156,152,26.78,1930,23.91
378,175513,63,17.91,1935,23.69
379,175965,56,16.76,1941,23.48
380,176277,179,30.55,1946,23.48
381,176389,101,22.08,1951,23.69
382,176700,192,32.67,1956,23.80
383,178461,102,22.15,1961,23.69
384,178974,56,16.76,1966,23.69
385,180315,88,20.96,1971,23.69
386,181233,60,17.43,1976,23.58
387,182646,96,21.67,1982,23.48
388,183382,505,145.23,1987,23.58
389,183734,51,15.86,1993,23.48
390,184812,78,19.92,1998,23.37
391,184870,51,15.86,2003,23.80
392,185170,56,16.76,2008,23.48
393,185893,117,23.34,2013,23.80
394,185904,93,21.41,2019,23.58
395,186190,99,21.91,2024,23.69
396,186755,449,112.05,2029,23.48
397,188051,49,15.48,2034,23.58
398,188131,60,17.43,2039,23.58
399,188263,63,17.91,2045,23.15
400,189008,88,20.96,2051,23.80
401,189113,71,19.06,2056,23.58
402,189903,90,21.14,2061,23.69
403,190325,159,27.66,2066,23.48
404,190357,121,23.66,2071,23.58
405,190547,83,20.46,2077,23.48
406,190725,76,19.69,2082,23.80
407,191262,67,18.51,2087,23.15
408,191897,462,120.87,2093,23.58
409,192488,67,18.51,2099,23.58
410,192568,60,17.43,2105,23.37
411,192796,335,61.77,2111,23.37
412,192862,158,27.53,2116,23.58
413,192880,97,21.75,2121,23.37
414,192917,108,22.63,2126,23.37
415,193098,60,17.43,2131,23.69
416,193139,199,33.86,2137,23.48
417,193876,499,141.24,2142,23.37
418,194833,71,19.06,2148,23.69
419,194987,76,19.69,2153,23.58
420,195304,126,24.09,2158,23.58
421,196037,334,61.44,2164,23.37
422,196167,153,26.90,2169,23.37
423,196542,176,30.09,2174,23.37
424,196649,301,53.09,2179,23.15
425,197957,50,15.67,2184,23.37
426,198629,192,32.67,2189,23.15
427,198731,184,31.36,2194,23.37
428,199340,49,15.48,2199,23.15
429,199842,71,19.06,2204,23.37
430,200759,120,23.58,2209,23.37
431,201249,316,56.81,2215,23.15
432,202120,96,21.67,2220,23.15
433,202139,399,87.30,2225,23.69
434,202351,57,16.93,2230,23.15
435,202530,284,49.41,2235,23.37
436,202713,287,50.23,2240,23.37
437,202769,71,19.06,2245,23.48
438,202859,127,24.18,2250,23.48
439,202962,88,20.96,2255,23.37
440,203426,56,16.76,2260,23.69
441,203573,174,29.79,2265,23.37
442,204335,88,20.96,2270,23.69
443,205880,210,35.78,2275,23.15
444,206259,88,20.96,2280,23.37
445,206559,192,32.67,2285,23.15
446,206880,83,20.46,2290,23.58
447,207784,94,21.50,2295,23.48
448,209135,56,16.76,2300,23.80
449,209596,85,20.67,2305,23.58
450,210140,63,17.91,2310,23.15
451,210298,89,21.05,2316,23.48
452,210410,371,73.82,2321,23.15
453,210685,57,16.93,2326,23.69
454,210762,131,24.54,2331,23.58
455,210870,204,34.73,2337,23.91
456,210877,92,21.32,2342,23.37
457,213167,71,19.06,2347,23.58
458,213297,67,18.51,2352,23.69
459,213610,71,19.06,2358,23.58
460,213883,79,20.03,2363,23.48
461,214210,130,24.45,2368,23.37
462,214344,604,210.97,2374,23.48
463,214471,236,40.44,2379,23.37
464,214797,152,26.78,2385,23.37
465,214809,94,21.50,2390,23.69
466,215463,67,18.51,2395,23.37
467,215498,96,21.67,2401,23.48
468,215902,71,19.06,2406,23.37
469,215927,79,20.03,2411,23.37
470,216010,51,15.86,2416,23.58
471,216108,141,25.53,2421,23.69
472,217112,71,19.06,2426,23.37
473,218522,56,16.76,2431,23.48
474,218814,76,19.69,2436,23.15
475,219087,79,20.03,2441,23.58
476,219544,589,192.61,2446,23.48
477,219663,76,19.69,2451,23.69
478,219877,415,95.00,2456,23.48
479,221037,225,38.48,2461,23.80
480,221414,56,16.76,2466,23.48
481,221822,71,19.06,2471,23.80
482,222448,71,19.06,2476,23.58
483,222585,89,21.05,2481,23.37
484,223004,204,34.73,2486,23.69
485,223848,236,40.44,2491,23.37
486,224038,132,24.63,2497,23.58
487,224092,51,15.86,2503,23.48
488,224553,224,38.29,2508,23.91
489,224719,273,47.25,2513,23.37
490,224772,126,24.09,2519,23.37
491,225470,408,90.57,2525,23.69
492,226119,103,22.23,2530,23.91
493,226358,414,93.93,2535,23.37
494,226729,120,23.58,2540,23.69
495,226808,131,24.54,2546,23.58
496,228896,170,29.19,2552,23.80
497,229002,504,143.61,2557,23.26
498,229561,62,17.75,2563,23.15
499,229591,112,22.94,2569,23.37
500,229614,143,25.74,2575,23.69
501,230510,216,36.85,2581,23.48
502,230738,83,20.46,2586,23.26
503,231054,248,42.69,2591,23.48
504,231648,243,41.74,2597,23.37
505,231855,51,15.86,2603,23.80
506,231968,56,16.76,2608,23.48
507,232244,432,101.61,2613,23.69
508,232454,78,19.92,2618,23.80
509,232615,102,22.15,2623,23.58
510,232777,444,109.09,2628,23.48
511,232983,218,37.23,2633,23.15
512,233690,115,23.18,2638,23.58
513,234343,391,82.35,2643,23.48
514,234566,89,21.05,2648,23.69
515,234840,166,28.62,2653,23.48
516,235513,53,16.22,2658,23.15
517,236659,53,16.22,2663,23.69
518,237395,326,59.13,2668,23.58
519,237609,60,17.43,2673,23.37
520,238411,57,16.93,2679,23.15
521,239100,108,22.63,2684,23.37
522,239496,440,109.25,2689,23.37
523,240838,199,33.86,2694,23.69
524,241258,57,16.93,2699,23.69
525,241730,90,21.14,2704,23.58
526,241764,120,23.58,2709,23.37
527,242198,193,32.84,2715,23.80
528,242652,370,73.62,2720,23.37
529,244441,67,18.51,2725,23.37
530,245059,238,40.82,2731,23.69
531,245509,63,17.91,2737,23.15
532,246952,79,20.03,2743,23.80
533,247415,56,16.76,2748,23.48
534,247485,141,25.53,2753,23.80
535,247743,57,16.93,2759,23.15
536,248184,319,57.64,2764,23.58
537,248441,387,81.05,2769,23.37
538,248599,504,143.61,2774,23.37
539,249014,126,24.09,2780,23.58
540,249071,170,29.19,2786,23.15
541,249943,376,76.43,2791,23.80
542,251899,94,21.50,2796,23.37
543,252086,88,20.96,2801,23.69
544,252193,167,28.76,2806,23.37
545,253088,56,16.76,2811,23.80
546,253625,207,35.26,2816,23.80
547,254061,73,19.32,2821,23.37
548,254076,88,20.96,2826,23.48
549,254658,99,21.91,2831,23.80
550,254692,71,19.06,2836,23.58
551,255022,71,19.06,2841,24.01
552,255163,316,56.81,2846,23.91
553,255305,88,20.96,2851,23.58
554,255446,199,33.86,2856,23.58
555,256686,344,64.67,2861,23.69
556,257048,510,148.47,2866,23.15
557,257191,56,16.76,2871,23.69
558,257308,217,37.04,2876,23.48
559,258751,51,15.86,2881,23.37
560,258991,67,18.51,2886,23.37
561,260140,332,61.17,2892,23.58
562,260337,103,22.23,2897,23.48
563,260431,184,31.36,2902,23.69
564,260760,513,148.53,2907,23.69
565,261271,63,17.91,2913,23.58
566,261380,376,76.43,2919,23.58
567,261408,112,22.94,2924,23.37
568,261509,204,34.73,2930,23.80
569,261520,62,17.75,2935,23.58
570,261861,110,22.78,2941,23.69
571,261937,433,104.37,2946,23.69
572,262350,62,17.75,2951,23.69
573,263131,62,17.75,2957,23.37
574,263293,78,19.92,2963,23.37
575,264565,434,104.89,2968,23.58
576,265266,76,19.69,2973,23.37
577,265539,156,27.28,2978,23.69
578,266615,76,19.69,2983,23.58
579,266876,120,23.58,2988,23.69
580,267424,85,20.67,2994,23.37
581,268863,159,27.66,2999,23.48
582,269730,76,19.69,3004,23.58
583,271272,63,17.91,3009,23.15
