Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
388,200688,146,26.08,1983,22.19
389,201332,143,25.74,1988,22.19
390,202771,102,22.15,1993,22.19
391,203027,71,19.06,1998,22.40
392,203074,307,54.48,2003,22.19
393,203111,455,117.03,2008,22.29
394,203331,76,19.69,2013,22.29
395,203712,236,40.44,2018,22.19
396,204660,99,21.91,2024,22.29
397,205220,275,47.73,2029,22.19
398,205390,305,53.88,2035,22.29
399,205514,98,21.83,2040,22.19
400,205742,280,48.67,2045,22.40
401,205766,51,15.86,2051,22.40
402,206118,415,95.00,2056,22.29
403,206199,60,17.43,2061,22.19
404,206984,56,16.76,2067,22.29
405,207181,63,17.91,2072,22.29
406,207261,529,156.43,2078,22.29
407,207315,241,41.39,2084,22.29
408,207352,234,40.06,2090,22.19
409,207368,88,20.96,2096,22.29
410,207588,99,21.91,2101,22.19
411,208070,60,17.43,2106,22.29
412,208368,210,35.78,2112,22.29
413,208463,89,21.05,2117,22.19
414,208679,71,19.06,2122,22.29
415,209146,81,20.25,2127,22.29
416,210919,88,20.96,2132,22.19
417,210950,185,31.51,2137,22.29
418,211317,96,21.67,2142,22.29
419,211356,93,21.41,2147,22.19
420,211615,280,48.67,2152,22.19
421,212165,71,19.06,2158,22.19
422,212883,275,47.73,2163,22.29
423,213069,497,142.37,2169,22.29
424,213702,79,20.03,2175,22.19
425,214511,83,20.46,2180,22.19
426,214732,353,67.64,2185,22.19
427,215325,359,69.86,2190,22.29
428,215643,71,19.06,2195,22.19
429,215728,248,42.69,2200,22.19
430,216240,299,52.61,2206,22.19
431,219212,78,19.92,2211,22.29
432,220601,63,17.91,2216,22.29
433,221529,99,21.91,2222,22.19
434,221628,101,22.08,2227,22.29
435,221761,99,21.91,2232,22.19
436,222108,73,19.32,2237,22.40
437,222896,259,44.69,2242,22.40
438,223216,71,19.06,2248,22.19
439,223292,127,24.18,2253,22.19
440,223449,192,32.67,2258,22.40
441,223526,78,19.92,2263,22.29
442,223976,56,16.76,2268,22.29
443,225729,307,54.48,2273,22.29
444,225803,88,20.96,2278,22.19
445,226092,96,21.67,2283,22.19
446,227014,135,24.92,2288,22.19
447,227091,220,37.58,2294,22.29
448,227715,216,36.85,2299,22.19
449,228027,57,16.93,2304,22.29
450,228085,259,44.69,2309,22.19
451,229000,399,87.30,2315,22.19
452,229746,60,17.43,2320,22.19
453,231303,240,41.21,2326,22.19
454,231397,49,15.48,2332,22.19
455,231451,62,17.75,2337,22.19
456,232562,79,20.03,2343,22.19
457,234551,102,22.15,2348,22.29
458,234906,396,85.28,2353,22.29
459,235635,729,380.02,2358,22.29
460,235776,77,19.81,2363,22.29
461,235911,49,15.48,2368,22.19
462,236020,67,18.51,2373,22.29
463,236268,63,17.91,2379,22.19
464,236985,79,20.03,2385,22.29
465,237632,252,43.42,2390,22.19
466,238020,79,20.03,2396,22.19
467,238063,287,50.23,2401,22.29
468,238467,323,58.48,2406,22.40
469,238748,540,166.11,2411,22.19
470,238756,71,19.06,2417,22.19
471,239958,63,17.91,2422,22.19
472,241090,49,15.48,2428,22.29
473,243201,327,59.28,2433,22.19
474,243231,58,17.10,2438,22.19
475,243501,60,17.43,2444,22.19
476,245468,295,51.75,2450,22.29
477,245800,156,27.28,2455,22.19
